224.41	4.0619
22.92	0.8536
44.88	1.1856
66.69	1.7539
89.34	1.8644
111.61	2.8579
134.1	3.45
156.81	4.3739
179.01	4.8699
200.91	5.2819
222.26	4.6724
23.45	0.8275
46.13	1.5531
68.55	1.4075
91.22	2.6916
113.99	2.5099
137.1	3.05
159.8	3.74
182.63	5.0731
204.79	4.9659
225.77	3.8571
22.67	1.0011
44.81	1.0339
67.29	2.1259
89.71	2.1659
111.65	2.2875
135.05	3.1075
157.12	4.1656
179.68	5.0776
201.92	5.5136
222.97	5.3891
23.63	0.8731
45.94	1.2164
68.69	2.3339
91.43	1.9451
114.48	2.8496
137.42	3.6036
160.56	4.9264
182.97	5.5891
205.71	5.7459
226.5	4.51
22.77	0.9771
45.05	1.5875
67.39	1.9579
90.01	2.5099
112.66	3.8044
135.43	2.9651
157.89	4.1779
180.35	5.1075
202.39	4.4579
223.94	4.8764
23.05	0.8275
45.38	1.6556
67.61	1.8979
90.21	2.4259
112.9	2.99
135.7	2.83
157.98	3.8996
180.49	6.5299
202.51	4.8099
224.02	4.0596
23.49	0.9899
45.66	1.0844
67.98	1.5396
90.62	1.7556
113.56	3.5664
136.6	4.54
159.09	4.2019
182.02	6.2596
204.05	4.2675
225.34	4.6444
23.11	0.7979
45.12	1.0656
67.23	1.8771
89.75	2.1275
112.11	3.2379
135.21	3.4659
156.89	4.2979
179.43	4.0851
201.22	4.3516
222.46	5.5884
22.93	0.6051
45.24	1.5824
67.38	2.1756
89.9	2.47
112.42	3.8436
134.97	4.5691
158.39	3.9379
180.89	4.2979
202.26	5.2924
223.54	4.8284
23.41	0.6619
45.83	1.6011
68.48	2.3296
91.56	2.4064
113.8	2.2
136.97	4.0691
160.04	3.7584
182.2	4.96
204.38	4.9956
226.01	5.2899
22.97	0.8491
45.12	1.1256
67.43	1.4651
90.08	2.3936
112.32	3.2176
135.19	3.7539
158.13	3.9731
180.1	4.59
202.03	5.1091
223.49	5.1299
23.36	0.7904
45.53	1.4091
67.84	1.8344
90.5	2.83
113.01	2.9699
135.73	3.7971
158.2	4.96
181.35	4.4275
203.03	5.4891
223.89	6.3379
22.96	0.6784
45.04	1.2184
67.32	1.8976
90.17	2.1811
112.6	3.64
134.94	3.7564
157.93	4.3651
180.34	4.6644
202.37	5.1531
223.64	4.5704
22.45	0.8275
44.55	1.2275
66.55	2.3475
88.88	2.7656
111.45	3.1875
133.72	3.4016
156.38	3.8756
178.47	4.7691
199.86	5.5404
221.59	4.6619
23.23	0.7171
45.66	1.2044
68.43	1.8051
90.74	2.1724
113.68	3.9176
136.16	4.2944
159.04	3.7784
181.75	5.6075
203.28	5.1816
224.09	4.4019
23.06	0.8364
45.32	1.3176
67.83	1.8211
91.16	2.8744
113.56	3.7864
136.73	4.7571
159.03	5.2091
181.73	5.5771
204.39	5.2179
225.85	4.1875
23.39	0.7579
45.57	1.1251
67.9	2.41
90.83	2.4811
113.24	3.8224
136.15	4.7875
159.07	4.0851
182.02	5.2596
203.73	5.1971
224.86	6.1604
22.88	0.7056
45.09	1.6619
67.46	1.9684
89.94	2.1764
112.49	4.1499
135.49	3.4899
157.29	3.5459
180.29	3.5459
201.94	5.1764
223.27	4.7971
23.36	0.6704
45.49	1.3899
67.89	2.4379
90.32	2.4776
112.96	3.0784
136.08	3.4736
158.51	3.5099
180.69	5.1539
202.8	5.62
224.45	4.1875
23.11	0.8779
45.13	1.2131
67.24	1.9824
90.03	3.2091
112.63	2.7531
135.31	4.5739
158.11	3.0179
180.31	5.4339
202.51	6.4699
223.78	5.3116
23.37	0.8331
45.3	1.69
68.14	2.0004
90.69	2.1339
113.23	3.5371
135.98	3.9796
158.51	4.2699
181.01	5.6299
202.78	6.7116
224.21	4.4259
23.26	0.9724
45.81	1.0539
68.1	1.95
90.99	2.7699
113.44	3.2264
135.9	3.73
158.79	3.8459
181.43	4.0051
203.6	5.92
225.26	5.8124
23.11	0.9979
45.54	1.2084
67.3	1.67
90.1	2.35
112.91	4.2219
135.16	3.1144
157.74	4.1324
180.27	5.4171
202.3	5.75
223.53	6.3891
23.29	0.8259
45.57	1.3251
68.03	2.3691
90.66	2.6244
113.34	3.5444
136.17	4.0411
159	4.02
181.34	4.3844
203.11	4.1579
224.79	4.5059
23.23	0.7771
45.83	1.4211
68.23	1.8971
91.38	2.9556
