90.86	2.8804
113.94	3.7964
136.41	3.8219
159.61	4.0579
182.29	4.5659
205.04	5.1584
225.65	5.4475
23.41	0.7819
45.35	1.6075
67.5	1.71
90.24	2.5224
112.86	2.8604
135.09	4.0219
158.13	4.8131
180.59	4.0419
202.53	4.5291
223.67	5.6011
22.96	0.7584
45.21	1.2859
67.5	2.09
89.97	2.4091
112.54	3.5284
135.22	3.9516
157.9	3.79
180.21	3.7859
202.36	6.3904
223.55	5.3875
23.2	0.78
45.57	1.6051
67.7	1.83
90.42	2.6636
112.76	3.5224
135.99	3.2699
158.51	4.7299
180.93	4.3851
203.34	4.8644
223.97	5.6091
23.06	0.7764
45.72	1.5616
67.79	1.6859
90.76	2.6824
112.91	2.7819
135.86	3.0804
159.18	4.5876
181.07	4.1651
203.76	4.9224
224.82	4.3076
23.02	0.5796
45.28	1.2616
67.34	1.7444
90.2	2.76
112.75	3.6075
135.29	3.1659
158.08	5.6936
180.79	5.6659
202.8	4.94
224.13	4.8331
23.58	0.7836
45.87	1.4931
67.84	2.7944
90.97	2.4091
113.23	2.9771
135.98	4.3196
158.83	4.8611
181.34	4.5844
203.15	3.8475
224.68	5.3576
22.9	0.83
45.19	1.1139
67.08	2.1536
89.84	2.2344
112.05	4.2075
134.91	4.9019
157.14	3.7404
179.56	4.0864
201.29	5.4059
222.6	5.24
23.34	0.8044
45.53	1.4091
67.63	1.5331
90.51	2.5899
113.12	2.9856
135.49	3.8099
158.51	3.7299
180.47	4.9891
202.78	5.6916
223.3	5.65
23.35	1.0675
45.32	1.3176
67.38	1.8956
90.07	1.8851
112.66	3.1844
135.18	4.5076
157.32	4.9176
180.26	4.1924
201.55	7.0875
223.1	6.39
23.36	0.8704
45.53	1.2291
68.17	2.2811
91.07	2.3251
113.84	3.1544
137.01	4.3899
159.72	3.3216
182.39	4.9979
204.93	5.2051
226.05	4.7275
22.77	0.7571
44.91	1.6419
67.27	2.1771
90.11	1.7979
112.16	3.5144
135.05	3.1275
157.73	5.2571
180.21	5.3059
202.43	5.1051
223.5	5.61
23.39	0.8779
45.5	1.49
68.25	2.1675
90.92	2.4336
113.29	3.5859
136.48	3.2496
158.9	3.65
181.52	6.1896
203.92	5.9336
225.26	4.6724
23.41	0.6819
45.9	1.31
68.48	1.8696
91.11	2.1979
114.12	2.8856
136.92	3.9336
159.61	4.7979
182.11	6.1579
204.73	6.1171
225.69	4.7939
23.12	0.7056
45.59	1.1419
67.84	2.2944
90.5	2.45
113.33	2.9811
136.28	3.4416
158.43	3.7851
180.57	4.1451
203.12	4.9456
223.83	6.1811
22.04	0.8384
44.44	0.9264
66.38	1.6556
88.85	1.9675
111.27	3.2371
134.07	4.2251
